district,transaction type,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,subsidiary building area,balcony area,elevator
文山區,房地(土地+建物),保儀路121~150號,1261.3,都市：其他:第三種住宅區。,,,1080423,土地3建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土造,,245.48,0,0,0,無,無,523060000,2130764,,0,0,,RPTOMLOLPHPFFAA58DA,245.48,0,0,無
中正區,房地(土地+建物),重慶南路三段61~90號,36,都市：其他:道路用地(公共設施用地)。59/9/9,,,1090808,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,760429,142.01,3,2,2,有,無,18500000,130273,,0,0,陽台外推;其他增建;,RPPNMLTLQHPFFAA68DA,106.57,4.81,16.47,無
中正區,房地(土地+建物),晉江街61~90號,19.39,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090807,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1021023,84.97,2,1,1,有,無,21580000,253972,,0,0,其他增建;,RPXNMLLMQHPFFAA78DA,50.17,0,5.05,有
中正區,房地(土地+建物),中華路二段309巷31~60號,10.66,都市：其他:第三種住宅區。,,,1090630,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),住家用,加強磚造,,34.63,0,1,1,有,無,10400000,300318,,0,0,其他增建;,RPPNMLTJRHPFFAA58DA,33,1.63,0,無
中正區,房地(土地+建物),臨沂街57巷32弄1~30號,45,都市：其他:第三種住宅區。,,,1090719,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,580516,99.86,3,2,2,有,無,35800000,358502,,0,0,其他增建;,RPTOMLLKQHPFFBA38DA,99.86,0,0,無
萬華區,房地(土地+建物),梧州街1巷1~30號,48.5,都市：其他:第三種商業區。,,,1090730,土地1建物2車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,600116,124.36,0,1,1,有,無,11000000,88453,,0,0,,RPQOMLRLQHPFFBA78DA,124.36,0,0,無
萬華區,房地(土地+建物)+車位,桂林路91~120號,4.46,都市：其他:第四種商業區。,,,1090815,土地1建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,97.18,1,1,1,有,有,14750000,198637,坡道平面,37.02,2800000,,RPOPMLLJRHPFFBA97DA,33.95,3.15,3.22,有
萬華區,房地(土地+建物)+車位,桂林路91~120號,4.57,都市：其他:第四種商業區。,,,1090817,土地1建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,75.59,2,1,1,有,有,13000000,193198,坡道機械,12.96,900000,,RPPPMLLJRHPFFBA08DA,35.45,2.61,3.75,有
萬華區,房地(土地+建物)+車位,桂林路91~120號,6.66,都市：其他:第四種商業區。,,,1090816,土地1建物1車位1,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,105.79,2,2,1,有,有,17350000,174216,坡道機械,13.95,1350000,,RPQPMLLJRHPFFBA18DA,49.25,4,8.25,有
萬華區,房地(土地+建物),青年路30巷1~30號,22.05,都市：其他:第三種住宅區。,,,1090704,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,760316,104.73,3,2,2,有,有,15800000,150864,,0,0,,RPUPMLSJRHPFFBA66DA,70.63,0,10.72,有
內湖區,房地(土地+建物),成功路四段30巷1~30號,10.64,都市：其他:第三種商業區。,,,1090620,土地1建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,781107,115.66,3,2,2,有,有,22080000,190904,,0,0,陽台外推;其他增建;,RPPNMLQKQHPFFCA48DA,101.32,0,7.72,有
中山區,房地(土地+建物),林森北路399巷1~30號,4.25,都市：其他:道路用地(公共設施用地)。53/7/15,,,1090810,土地3建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,730927,48,2,1,1,有,有,8050000,167708,,0,0,陽台外推;,RPVPMLRLQHPFFCA86DA,37.02,0,3.23,有
內湖區,房地(土地+建物)+車位,內湖路三段60巷31~60號,31.62,都市：其他:第三種住宅區。,,,1090807,土地1建物1車位2,七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060407,257.68,3,2,2,有,有,43380000,168348,坡道平面,55.2,0,,RPSNMLOJRHPFFCA58DA,110.6,10.2,12.7,有
內湖區,房地(土地+建物)+車位,內湖路一段411巷90弄1~30號,10.9,都市：其他:第三種住宅區。,,,1090719,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,981204,75.52,1,1,1,有,有,12800000,169492,升降機械,8.1,0,,RPXNMLOJRHPFFCA09DA,38.1,1.62,3.84,有
中山區,房地(土地+建物),新生北路三段1~30號,3.82,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區及第參之貳種住宅區) 但是否在第三種商業區(原屬第參之貳種住宅區於七十九年九月十三日變更為第貳種商業區又於八十四年九月二十七日調整為第參種商業區(均應依前述都市計畫說明書圖規定辦理))。,,,1090822,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,700122,37.81,1,1,1,有,有,5600000,148109,,0,0,其他增建;,RPWPMLSJRHPFFCA96DA,26.51,0,0,有
松山區,房地(土地+建物),八德路三段155巷26弄1~30號,28.8,都市：其他:第三種住宅區。,,,1090724,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710313,121.07,3,2,2,有,無,23100000,190799,,0,0,陽台外推;其他增建;,RPVNMLLLQHPFFDA78DA,79.41,0,25.07,無
信義區,房地(土地+建物),永吉路30巷83弄1~30號,15.66,都市：其他:第三種住宅區。,,,1090805,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,990211,67.94,1,2,1,有,有,18980000,279364,,0,0,其他增建;,RPVNMLMLQHPFFDA88DA,37.67,2.72,3.85,有
信義區,房地(土地+建物),基隆路二段1~30號,9.11,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090809,土地4建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,690421,107.84,2,2,2,有,有,22000000,204006,,0,0,陽台外推;其他增建;,RPPNMLQLQHPFFDA68DA,90.43,0,5.59,有
南港區,房地(土地+建物),經貿二路235巷31~60號,55.76,都市：其他:住宅區(供商務住宅使用)。,,,1090707,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011107,343.1,0,0,0,無,有,69540000,202681,,0,0,,RPXNMLSLQHPFFDA07DA,178.91,10.1,20.02,有
松山區,房地(土地+建物),南京東路五段211~240號,4.69,都市：其他:聯合開發區(捷)。,,,1090802,土地1建物1車位0,十四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980331,58.73,1,1,1,有,有,14500000,246893,,0,0,其他增建;,RPWQMLNJRHPFFDA66DA,33.15,1.46,4.09,有
信義區,房地(土地+建物),和平東路三段301~330號,9.28,都市：其他:第三之一種住宅區及第三種住宅區。,,,1090721,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,800305,97.84,2,2,1,有,有,19360000,197874,,0,0,其他增建;,RPXOMLOJRHPFFDA66DA,76.88,0,7.38,有
信義區,房地(土地+建物),松德路291巷1~30號,33.76,都市：其他:第三種住宅區。,,,1090430,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,102.79,3,2,3,有,無,17000000,165386,,0,0,親友、員工、共有人或其他特殊關係間之交易;陽台外推;頂樓加蓋;,RPQNMLSJRHPFFDA88DA,86.03,0,15.18,無
南港區,房地(土地+建物),研究院路二段12巷57弄31~60號,31.1,都市：其他:第三種住宅區。,,,1090725,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750805,115.55,3,2,2,有,無,12380000,107140,,0,0,其他增建;,RPUNMLTJRHPFFDA76DA,96.22,0,9.23,無
南港區,房地(土地+建物)+車位,重陽路57巷61~90號,24.45,都市：其他:住宅區(供住宅使用)。,,,1090811,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,961128,110.91,2,2,1,有,有,20080000,181048,坡道機械,0,0,,RPPRMLSJRHPFFDA56DA,60.67,2.62,6.16,有
北投區,房地(土地+建物),自強街31巷1~30號,27.33,都市：其他:第三種住宅區。,,,1090716,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,770524,98.14,3,2,2,有,無,13800000,140615,,0,0,,RPQNMLNKQHPFFEA48DA,74.62,4.92,9.38,無
士林區,房地(土地+建物),中山北路六段754巷1~30號,39.94,都市：其他:第三種住宅區。,,,1090717,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690703,121.87,3,2,2,有,無,17800000,146057,,0,0,陽台外推;其他增建;,RPPNMLNLQHPFFEA48DA,105.99,0,15.88,無
北投區,房地(土地+建物)+車位,磺港路121~150號,21.9,都市：其他:第三種住宅區。,,,1090817,土地1建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,188.35,3,2,2,有,有,30000000,159278,坡道平面,0,2000000,,RPXOMLOJRHPFFEA76DA,89.84,3.27,4.76,有
士林區,房地(土地+建物)+車位,德行西路61~90號,18.09,都市：其他:第三種住宅區。,,,1090728,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090427,91.04,0,0,0,無,有,20080000,259679,升降機械,19.49,1500000,,RPPPMLNJRHPFFEA58DA,35.64,4,5,有
北投區,房地(土地+建物),東華街一段1~30號,44,都市：其他:第三種住宅區。,,,1090728,土地2建物1車位0,二層,二層,公寓(5樓含以下無電梯),住家用,加強磚造,610617,59.68,2,1,1,有,無,8660000,145107,,0,0,頂樓加蓋;其他增建;,RPVPMLSJRHPFFEA07DA,59.68,0,0,無
士林區,房地(土地+建物),文林路740巷1~30號,23,都市：其他:第三種住宅區。,,,1090703,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,681009,94.04,3,2,1,有,無,13200000,140366,,0,0,,RPOQMLSJRHPFFEA09DA,75.43,0,11.15,無
士林區,房地(土地+建物),承德路四段40巷91~120號,14.08,都市：其他:第三種住宅區。,,,1090714,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,591008,42.8,3,1,1,有,無,5320000,124299,,0,0,陽台外推;其他增建;,RPQQMLSJRHPFFEA66DA,39.6,1.85,1.35,無
士林區,房地(土地+建物)+車位,天母北路9巷1~30號,26.2,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1090817,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060428,116.03,2,2,1,有,有,29500000,273159,升降機械,14.99,1900000,,RPRQMLSJRHPFFEA76DA,60.39,5,3.97,有
士林區,房地(土地+建物),中山北路六段186巷25弄1~30號,28.95,都市：其他:第三種住宅區。,,,1090810,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,741028,107.77,3,2,2,有,無,14100000,130834,,0,0,其他增建;,RPTQMLSJRHPFFEA96DA,95.93,0,8.63,無
士林區,房地(土地+建物),重慶北路四段49巷40弄31~60號,22,都市：其他:第三種住宅區。,,,1090810,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,590427,57.48,2,2,1,有,無,6880000,119694,,0,0,其他增建;,RPWNMLTJRHPFFEA07DA,57.48,0,0,無
北投區,房地(土地+建物)+車位,光明路61~90號,12.11,都市：其他:第三種商業區。,,,1090808,土地1建物1車位1,三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,961116,156.57,3,2,2,有,有,25180000,160823,坡道平面,0,0,,RPXNMLTJRHPFFEA17DA,71.82,3,4.54,有
士林區,房地(土地+建物),德行東路190巷40弄1~30號,11.07,都市：其他:第三種住宅區。,,,1090819,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,741114,61.36,3,2,2,有,有,5000000,81486,,0,0,親友、員工、共有人或其他特殊關係間之交易;,RPVOMLTJRHPFFEA07DA,49.85,0,7.7,有
大安區,房地(土地+建物),忠孝東路三段251巷10弄1~30號,45.5,都市：其他:第三種住宅區。,,,1090820,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,550729,98.19,3,2,1,有,無,22650000,230675,,0,0,,RPUNMLLJRHPFFFA78DA,84.84,0,13.35,無
大安區,房地(土地+建物),仁愛路四段345巷4弄1~30號,20.14,都市：其他:第四種住宅區。,,,1090817,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.89,3,2,2,有,無,28500000,252458,,0,0,陽台外推;,RPRNMLOJRHPFFFA78DA,82.95,0,15.82,有
大安區,房地(土地+建物),潮州街31~60號,44.43,都市：其他:第三種住宅區。,,,1090317,土地1建物1車位0,六層，陽台,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,214.05,4,2,3,有,有,45880000,214342,,0,0,,RPQNMLSJRHPFFFA09DA,214.05,0,0,有
文山區,房地(土地+建物),木新路二段1~30號,19.48,都市：其他:第三種住宅區。,,,1090725,土地1建物2車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,841024,80.73,3,2,1,有,有,13600000,168463,,0,0,其他增建;,RPWNMLTJRHPFFAA76EA,48.98,0.77,7.08,有
文山區,房地(土地+建物)+車位,光輝路134巷10弄1~30號,32.03,都市：其他:第三種住宅區。,,,1090805,土地3建物1車位1,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,850523,108.82,3,2,2,有,有,13380000,122944,升降平面,0,1500000,陽台外推;其他增建;,RPXNMLTJRHPFFAA86EA,63.9,1.97,8.14,無
文山區,房地(土地+建物),指南路二段45巷31~60號,29,都市：其他:第三種住宅區。,,,1090811,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,86.33,3,2,1,有,無,9000000,104251,,0,0,親友、員工、共有人或其他特殊關係間之交易;,RPWPMLKKRHPFFAA78EA,86.33,0,0,無
萬華區,房地(土地+建物)+車位,桂林路91~120號,6.66,都市：其他:第四種商業區。,,,1090815,土地1建物1車位1,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,104.81,2,2,1,有,有,17700000,182907,坡道機械,12.96,900000,,RPUPMLTJRHPFFBA86EA,49.25,4,8.25,有
中正區,房地(土地+建物)+車位,信義路二段161巷2弄1~30號,4.97,都市：其他:第三種住宅區。,,,1090731,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,971016,39.32,1,1,1,有,有,9900000,337214,升降機械,14.41,1500000,陽台外推;夾層;含租約;,RPVPMLTJRHPFFBA96EA,12.53,0.99,2.46,有
萬華區,房地(土地+建物),長沙街二段91~120號,9.64,都市：其他:第四種商業區。,,,1090622,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,860726,118.63,3,2,2,有,有,20200000,170277,,0,0,,RPOOMLKKRHPFFBA97EA,72.99,4.7,9.06,有
大同區,房地(土地+建物),昌吉街81巷1~30號,19.8,都市：其他:第四種住宅區。,,,1090822,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660705,79.61,3,2,1,有,無,9660000,121342,,0,0,,RPQNMLTJRHPFFBA88EA,64.19,0,15.42,無
中山區,房地(土地+建物)+車位,德惠街1~30號,5.94,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090801,土地1建物2車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930211,72.94,3,1,2,有,有,11700000,185279,塔式車位,13.84,750000,,RPRNMLMKQHPFFCA38EA,35.22,2.07,0,有
中山區,房地(土地+建物),錦州街31~60號,3.38,都市：其他:道路用地(公共設施用地)。53/7/15,,,1090803,土地3建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,730927,37.86,1,1,1,有,有,5000000,132066,,0,0,陽台外推;,RPORMLSJRHPFFCA09EA,25.83,0,4.4,有
內湖區,房地(土地+建物)+車位,康寧路三段31~60號,21.21,都市：其他:第三種住宅區。,,,1090810,土地1建物1車位1,十一層，電梯樓梯間,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850904,139.08,3,2,2,有,有,23000000,165372,坡道平面,0,0,陽台外推;其他增建;,RPUNMLTJRHPFFCA76EA,68.62,8.2,7.49,有
中山區,房地(土地+建物)+車位,中山北路二段181~210號,7.8,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090805,土地1建物1車位1,三層,十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080604,120.35,2,2,2,有,有,34400000,285833,坡道平面,0,3700000,,RPQQMLRJRHPFFCA09EA,52.57,3.84,4.62,有
中山區,房地(土地+建物),林森北路91~120號,4.84,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090821,土地2建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,710224,50.45,1,1,1,有,有,8100000,160555,,0,0,陽台外推;,RPQPMLTJRHPFFCA56EA,34.87,0,7.16,有
中山區,房地(土地+建物),林森北路121~150號,2.42,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1090804,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,700515,22.35,1,0,1,有,有,4000000,178971,,0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSQMLTJRHPFFCA86EA,17.55,0,0,有
中山區,房地(土地+建物)+車位,樂群二路116巷31~60號,125.88,都市：其他:住宅區(供住宅使用)。,,,1090817,土地1建物1車位4,十層,十一層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031215,598,0,0,0,無,有,240000000,516749,坡道平面,156.78,12000000,,RPWSMLTJRHPFFCA47EA,262.29,9.7,33.83,有
中山區,房地(土地+建物),中山北路二段27巷1~30號,3.01,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090826,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660929,24.76,1,1,1,有,有,3580000,144588,,0,0,親友、員工、共有人或其他特殊關係間之交易;,RPTNMLKKRHPFFCA48EA,18.02,0,0,有
松山區,房地(土地+建物),八德路三段12巷17弄1~30號,35.75,都市：其他:第三種住宅區。,,,1090807,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,94.31,2,2,2,有,無,16000000,169653,,0,0,,RPQQMLRJRHPFFDA56EA,94.32,0,0,無
信義區,房地(土地+建物)+車位,吳興街284巷59弄1~30號,39.33,都市：其他:第三種住宅區。,,,1090812,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970128,217.13,2,2,2,有,有,30000000,138166,坡道平面,0,0,,RPVNMLTJRHPFFDA96EA,102.85,4.3,10.14,有
松山區,房地(土地+建物),新中街4巷1~30號,67.75,都市：其他:住宅用地(民生社區特定專用區)。,,,1090822,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,590213,119.55,3,1,1,有,無,28800000,240903,,0,0,,RPOOMLTJRHPFFDA98EA,119.55,0,0,無
松山區,房地(土地+建物),八德路三段12巷51弄1~30號,31.71,都市：其他:第三種住宅區。,,,1090723,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,147.17,4,2,2,有,無,34700000,235782,,0,0,,RPPOMLTJRHPFFDA09EA,125.9,0,21.27,有
松山區,房地(土地+建物),南京東路五段1~30號,9.69,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090811,土地1建物1車位0,六層，露台,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,600302,105.28,3,2,2,有,有,24000000,227964,,0,0,含土地增值稅或其他稅費247493元;親友、員工、共有人或其他特殊關係間之交易;,RPUOMLTJRHPFFDA96EA,105.28,0,0,有
信義區,房地(土地+建物),信義路六段91~120號,23,都市：其他:第三種住宅區。,,,1090801,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,65.1,3,2,1,有,無,12300000,188940,,0,0,陽台外推;頂樓加蓋;,RPXOMLTJRHPFFDA27EA,65.1,0,0,無
松山區,房地(土地+建物),南京東路三段335巷1~30號,5.95,都市：其他:第三種住宅區。,,,1090820,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,760217,34.77,1,1,1,有,有,7930000,228070,,0,0,陽台外推;,RPOPMLTJRHPFFDA09EA,13.68,0,4.6,有
松山區,房地(土地+建物),民族東路751~780號,28.97,都市：其他:第三種住宅區。,,,1090612,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,691023,144.22,3,2,2,有,有,20000000,138677,,0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSPMLTJRHPFFDA86EA,114.98,0,13.86,有
信義區,房地(土地+建物),信義路五段150巷400弄1~30號,24.66,都市：其他:第三種住宅區。,,,1090805,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,811124,117.1,3,2,2,有,無,18700000,159693,,0,0,含土地增值稅或其他稅費1049274元;,RPRQMLTJRHPFFDA86EA,83.17,10.84,0,無
信義區,房地(土地+建物),莊敬路404巷1~30號,27.75,都市：其他:第三種住宅區。,,,1090809,土地2建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,68.88,2,1,1,有,無,14500000,210511,,0,0,,RPSQMLTJRHPFFDA96EA,68.88,0,0,無
南港區,房地(土地+建物),合順街8巷5弄1~30號,21.25,都市：其他:第三種住宅區。,,,1090729,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,77,3,2,1,有,無,8380000,108831,,0,0,,RPOOMLKKRHPFFDA18EA,77,0,0,無
南港區,房地(土地+建物),成福路241~270號,29.23,都市：其他:第三種住宅區。,,,1090802,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740104,97.14,3,2,2,有,無,12050000,124048,,0,0,陽台外推;其他增建;,RPVPMLRJRHPFFDA96EA,80.46,0,7.99,無
信義區,房地(土地+建物),中坡北路1~30號,8.08,都市：其他:第三種住宅區。,,,1090803,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,730712,77.33,2,2,1,有,有,18200000,235355,,0,0,陽台外推;其他增建;,RPWPMLRJRHPFFDA07EA,57.07,0,6.79,有
士林區,房地(土地+建物),中山北路七段14巷82弄1~30號,24.02,都市：其他:第二種住宅區。,,,1090812,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,770419,120.86,3,2,2,有,有,19800000,163826,,0,0,,RPUOMLTJRHPFFEA07EA,93.96,11.59,0,無
北投區,房地(土地+建物),溫泉路銀光巷1~30號,48.17,都市：其他:特定休閒旅館住宅專用區。,,,1090831,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640704,126.94,6,2,2,有,無,8000000,63022,,0,0,,RPVOMLTJRHPFFEA17EA,126.94,0,0,無
士林區,房地(土地+建物),士東路46巷1~30號,33.25,都市：其他:道路用地(公共設施用地)。66/1/12,,,1090629,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,760910,122.9,3,2,2,有,無,17880000,145472,,0,0,陽台外推;其他增建;,RPXOMLTJRHPFFEA37EA,102.16,1.66,9.1,無
士林區,房地(土地+建物)+車位,中山北路七段219巷1~30號,29.76,都市：其他:第二種住宅區。,,,1090619,土地1建物2車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,780817,173.01,3,2,2,有,有,27800000,158168,坡道平面,14.95,2800000,陽台外推;,RPQPMLTJRHPFFEA76EA,89.46,4.78,15.86,有
北投區,房地(土地+建物),吉利街257巷3弄1~30號,33.5,都市：其他:第三種住宅區。,,,1090720,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,651028,109.6,3,2,2,有,無,13600000,124088,,0,0,陽台外推;,RPTPMLTJRHPFFEA07EA,109.6,0,0,無
士林區,房地(土地+建物),葫蘆街11巷1~30號,24.65,都市：其他:第三種住宅區。,,,1090809,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691205,85.87,4,2,1,有,無,8860000,103179,,0,0,陽台外推;其他增建;,RPWPMLTJRHPFFEA37EA,67.34,5.88,7.55,無
北投區,房地(土地+建物)+車位,尊賢街211~240號,42.74,都市：其他:第三種住宅區。,,,1070110,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090302,219.97,3,1,2,有,有,33712000,175882,坡道平面,38.53,1800000,因登記面積較原契約多，而產生找補費新臺幣262000元其他                    ;預售屋、或土地及建物分次登記案件;,RPUOMLOKRHPFFEA66EA,109.7,7.06,13.82,有
大安區,房地(土地+建物),安和路二段61~90號,17.86,都市：其他:第三之一種住宅區及第三種住宅區。,,,1090704,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,680116,169.31,3,2,2,有,有,40980000,242041,,0,0,,RPPOMLOJRHPFFFA78EA,128.87,0,18.35,有
大安區,房地(土地+建物)+車位,敦化南路二段172巷1~30號,26.99,都市：其他:第三種住宅區。,,,1090816,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080702,176.35,3,2,2,有,有,59120000,383245,其他,30.96,3400000,含裝潢費;,RPQNMLTJRHPFFFA66EA,80.72,6.05,5.13,有
大安區,房地(土地+建物),信義路四段30巷41弄1~30號,36.67,都市：其他:第三種住宅區。,,,1090724,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,540525,74.73,4,2,1,有,無,16660000,222936,,0,0,,RPPOMLLKRHPFFFA58EA,64.77,0,9.96,無
